"maleID","trial_num","fishID","col_location","col_date","lat_to_trial","weight","length","depth","svl","bp_area","bp_length","preg_status","lat_to_preg","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs","depth_adj","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FL5M8",5,8,"TBML","october",15,2,157.881,4.656,67.131,"187.643",39.494,1,7,1,165,13,178,0.0294905656792141,2,178,0.585526315789474,0.926966292134832,0.984123156666359,-0.512669396049466
"FL6M1",6,1,"TBML","october",13,2.6,168.16,4.977,74.61,"223.157",44.233,0,NA,0,0,0,0,0.0295968125594672,0,NA,0,NA,0,-0.347374606995575
"FL6M2",6,2,"TBML","october",13,3.2,178.835,5.193,73.06,"291.06",55.48,1,3,1,263,0,263,0.0290379400005592,4,263,1.20091324200913,1,1,0.245549891583804
"FL6M3",6,3,"TBML","october",13,1.7,162.557,4.444,64.626,"175.046",44.913,0,NA,0,0,0,0,0.0273381029423525,0,NA,0,NA,0,-0.658583596741736
"FL6M4",6,4,"TBML","october",13,4.5,200.439,6.745,83.61,"288.722",54.481,0,NA,0,0,0,0,0.0336511357570134,0,NA,0,NA,0,1.44550688149564
"FL6M5",6,5,"TBML","october",13,1.3,142.239,4.019,58.76,"154.345",40.543,0,NA,0,0,0,0,0.0282552605122364,0,NA,0,NA,0,-1.78711193043127
"FL6M6",6,6,"TBML","october",13,2.6,168.876,5.73,73.447,"229.612",44.698,1,11,1,175,0,175,0.0339302209905493,4,175,0.799086757990868,1,1,-0.307605619549876
"FL6M7",6,7,"TBML","september",34,3.4,185.602,6.218,76.94,"261.847",49.533,0,NA,0,0,0,0,0.0335017941617008,0,NA,0,NA,0,0.621411257568502
"FL6M8",6,8,"TBML","september",34,2.6,188.605,4.777,77.563,"222.397",44.423,0,NA,0,0,0,0,0.0253280665942048,0,NA,0,NA,0,0.788207723070504
"FL8M1",8,1,"TBML","october",30,1.6,161.698,4.274,69.07,"159.555",39.781,0,NA,0,0,0,0,0.0264319905008102,0,NA,0,NA,0,-0.721964168894272
"FL8M2",8,2,"TBML","october",30,2.4,167.937,5.053,70.219,"181.687",48.463,0,NA,0,0,0,0,0.0300886642014565,0,NA,0,NA,0,-0.370677106261073
"FL8M3",8,3,"TBML","october",30,3.5,183.353,6.261,78.629,"NA ",NA,0,NA,0,0,0,0,0.0341472460226994,0,NA,0,NA,0,0.497321187945274
"FL8M4",8,4,"TBML","october",28,3.5,187.385,6.245,78.897,"249.089",47.734,1,2,1,7,66,73,0.0333271072924727,4,73,0.610878661087866,0.0958904109589041,0.196615905245347,0.72434305627947
"FL8M5",8,5,"TBML","october",28,4.8,199.463,6.797,82.009,"324.428",55.725,0,NA,0,0,0,0,0.0340764953901225,0,NA,0,NA,0,1.40439517079843
"FL8M6",8,6,"TBML","october",28,4.7,189.176,6.898,86.564,"337.966",52.807,0,NA,0,0,0,0,0.0364633991626845,0,NA,0,NA,0,0.825185359401134
"FL8M7",8,7,"TBML","october",28,2,148.968,4.556,64.267,"144.931",38.369,0,NA,0,0,0,0,0.0305837495301004,0,NA,0,NA,0,-1.43872716093156
"FL8M8",8,8,"TBML","october",28,2.1,158.183,5.227,70.265,"183.203",38.957,1,1,1,146,20,166,0.0330440059930587,4,166,1.38912133891213,0.879518072289157,1.80338409475465,-0.919876338337404
