"trial_num","fishID","rank_2_mate","fem_mate","NumDeveloped","NumUndeveloped","totalEggs","lat_to_preg","per_surviving","length","fem_mate_len","fem_mate_cat","maleID","MatingSuccess","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"C5",1,1,"F5",25,7,32,1,0.78125,9.803,"9.558","m","C5M1",1,1,32,1.36170212765957,0.78125,0.996788127145863,2.1683583318248
"C5",2,3,"F6",24,3,27,6,0.875,7.917,"9.725","s","C5M2",1,1,27,1.14893617021277,0.888888888888889,1.13412338021929,0.1143534027331
"C5",3,2,"N/A",0,22,22,2,0,7.954,"N/A",NA,"C5M3",1,1,22,0.936170212765957,0,0,0.154649363696193
"C5",4,4,"F5",25,0,25,7,1,7.089,"9.558","m","C5M4",1,1,25,1.06382978723404,1,1.27588880274671,-0.787404858819352
"C5",5,5,"F1",15,10,25,10,0.6,7.042,"10.43","m","C5M5",1,1,25,1.06382978723404,0.6,0.765533281648023,-0.838591620042741
"C5",6,1,"F2",25,0,25,1,1,7.259,"9.379","s","C5M6",1,1,25,1.06382978723404,1,1.27588880274671,-0.602261254394332
"C5",7,6,"F1",18,0,18,12,1,7.233,"10.43","m","C5M7",1,1,18,0.765957446808511,1,1.27588880274671,-0.6305773350711
"C5",8,7,"F5",14,0,14,13,1,8.199,"9.558","m","C5M8",1,1,14,0.595744680851064,1,1.27588880274671,0.421473970073429
"C6",1,1,"F7",20,1,21,1,0.952380952,9.094,"9.543","m","C6M1",1,1,21,0.753846153846154,0.952380952380952,1.22509662057888,0.445339886122136
"C6",3,1,"F8",26,6,32,1,0.8125,8.714,"10.735","m","C6M3",1,1,32,1.14871794871795,0.8125,1.04516055443135,-0.169081326058817
"C6",4,1,"F3",32,2,34,1,0.941176471,9.477,"9.835","s","C6M4",1,1,34,1.22051282051282,0.941176470588235,1.2106837191603,1.06461179208347
"C6",5,2,"F6",38,0,38,2,1,9.391,"11.251","s","C6M5",1,1,38,1.36410256410256,1,1.28635145160782,0.925558570379357
"C6",6,2,NA,0,21,21,2,0,7.985,NA,NA,"C6M6",1,1,21,0.753846153846154,0,0,-1.34779991469017
"C6",7,1,"F8",17,5,22,1,0.772727273,7.991,"10.735","m","C6M7",1,1,22,0.78974358974359,0.772727272727273,0.993998848969678,-1.33809852712942
"C6",8,2,"F7",26,1,27,2,0.962962963,9.078,"9.543","m","C6M8",1,1,27,0.969230769230769,0.962962962962963,1.23870880525197,0.419469519293464
"C7",1,1,"F8",24,9,33,1,0.727272727,9.418,"9.164","m","C7M1",1,1.14285714285714,33,1.32758620689655,0.727272727272727,0.960799607869972,0.272535153944395
"C7",2,NA,NA,0,0,0,NA,NA,9.647,NA,NA,"C7M2",0,0,NA,0,NA,0,0.583809718798593
"C7",3,5,"F8",40,2,42,9,0.952380952,8.153,"9.164","m","C7M3",1,1.14285714285714,42,1.68965517241379,0.952380952380952,1.25818996268687,-1.44695097942049
"C7",4,3,"F6",2,5,7,7,0.285714286,8.39,"10.416","m","C7M4",1,1.14285714285714,7,0.281609195402299,0.285714285714286,0.37745698880606,-1.12480219396003
"C7",5,4,"F3",15,0,15,9,1,9.848,"10.007","m","C7M5",1,1.14285714285714,15,0.603448275862069,1,1.32109946082121,0.85702451153088
"C7",6,1,"F2",25,1,26,1,0.961538462,8.961,"9.971","s","C7M6",1,1.14285714285714,26,1.04597701149425,0.961538461538462,1.27028794309732,-0.348654698188215
"C7",7,1,"F6",13,6,19,1,0.684210526,8.995,"10.416","m","C7M7",1,1.14285714285714,19,0.764367816091954,0.684210526315789,0.903910157403987,-0.302439260611611
"C7",8,2,"F3",22,10,32,4,0.6875,10.328,"10.007","m","C7M8",1,1.14285714285714,32,1.28735632183908,0.6875,0.908255879314583,1.50947774790649
"C8",1,1,"F8",39,4,43,1,0.906976744,10.601,"11.604","m","C8M1",1,1,43,1.12418300653595,0.906976744186046,0.944213823482464,1.63684088375088
"C8",2,2,"F6",29,0,29,2,1,8.888,"10.163","s","C8M2",1,1,29,0.758169934640523,1,1.04105626691656,-1.26801115858557
"C8",3,1,"F8",40,3,43,1,0.930232558,9.08,"11.604","m","C8M3",1,1,43,1.12418300653595,0.930232558139535,0.968424434340989,-0.942423539129295
"C8",4,2,"F5",51,0,51,2,1,10.25,"9.553","s","C8M4",1,1,51,1.33333333333333,1,1.04105626691656,1.04162601693238
"C8",5,1,"F1",43,1,44,1,0.977272727,9.399,"9.965","s","C8M5",1,1,44,1.15032679738562,0.977272727272727,1.01739589721391,-0.401473275553507
"C8",6,3,"F3",52,1,53,3,0.981132075,9.373,"9.974","s","C8M6",1,1,53,1.38562091503268,0.981132075471698,1.02141369584267,-0.44556326568821
"C8",7,1,"F4",25,0,25,1,1,9.516,"10.514","s","C8M7",1,1,25,0.65359477124183,1,1.04105626691656,-0.203068319947338
"C8",8,2,"F8",16,2,18,2,0.888888889,9.979,"11.604","m","C8M8",1,1,18,0.470588235294118,0.888888888888889,0.925383348370278,0.582072658220657
