full_ID,trial_num,fishID,col_location,col_month,lat_to_trial,weight,length,depth,svl,bp_area,bp_length,mated,lat_to_preg,MatingSuccess,NumDeveloped_Calc,NumUndeveloped_Calc,totalEggs,relative_fit,sex
FL6M4,6,4,TBML,october,13,4.5,200.439,6.745,83.61,288.722,54.481,0,NA,0,0,0,0,0,M
FL6M5,6,5,TBML,october,13,1.3,142.239,4.019,58.76,154.345,40.543,0,NA,0,0,0,0,0,M
FL6M6,6,6,TBML,october,13,2.6,168.876,5.73,73.447,229.612,44.698,1,11,1,175,0,175,1.612903226,M
FL6M7,6,7,TBML,september,34,3.4,185.602,6.218,76.94,261.847,49.533,0,NA,0,0,0,0,0,M
FL6M8,6,8,TBML,september,34,2.6,188.605,4.777,77.563,222.397,44.423,0,NA,0,0,0,0,0,M
FL8M1,8,1,TBML,october,30,1.6,161.698,4.274,69.07,159.555,39.781,0,NA,0,0,0,0,0,M
FL8M2,8,2,TBML,october,30,2.4,167.937,5.053,70.219,181.687,48.463,0,NA,0,0,0,0,0,M
FL8M3,8,3,TBML,october,30,3.5,183.353,6.261,78.629,NA ,NA,0,NA,0,0,0,0,0,M
FL8M4,8,4,TBML,october,28,3.5,187.385,6.245,78.897,249.089,47.734,1,2,1,7,66,73,0.67281106,M
FL8M5,8,5,TBML,october,28,4.8,199.463,6.797,82.009,324.428,55.725,0,NA,0,0,0,0,0,M
FL8M6,8,6,TBML,october,28,4.7,189.176,6.898,86.564,337.966,52.807,0,NA,0,0,0,0,0,M
FL8M7,8,7,TBML,october,28,2,148.968,4.556,64.267,144.931,38.369,0,NA,0,0,0,0,0,M
FL8M8,8,8,TBML,october,28,2.1,158.183,5.227,70.265,183.203,38.957,1,1,1,146,20,166,1.529953917,M
FL12F1,12,1,TBML,november,13,3.6,189.603,6.972,87.644,NA,NA,0,NA,0,0,0,0,0,F
FL12F2,12,2,TBML,november,13,4.6,195.714,7.464,83.414,NA,NA,0,NA,0,0,0,0,0,F
FL12F3,12,3,TBML,november,13,4.5,190.545,7.709,88.796,NA,NA,1,NA,1,204,32,236,2.175473251,F
FL12F4,12,4,TBML,november,13,5.6,201.046,8.654,92.544,NA,NA,0,NA,0,0,0,0,0,F
FL12F5,12,5,TBML,november,13,3.1,170.164,6.707,80.435,NA,NA,1,NA,1,173,66,239,2.203127572,F
FL12F6,12,6,TBML,november,13,2,164.242,5.179,71.73,NA,NA,0,NA,0,0,0,0,0,F
FL12F7,12,7,TBML,november,13,2,154.88,4.843,67.778,NA,NA,0,NA,0,0,0,0,0,F
FL12F8,12,8,TBML,november,13,2.2,167.522,5.655,73.457,NA,NA,0,NA,0,0,0,0,0,F
FL2F1,2,1,TBML,october,12,4.8,199.032,7.376,88.812,NA,NA,0,NA,0,0,0,0,0,F
FL2F2,2,2,TBML,october,12,2.4,169.335,5.32,76.236,NA,NA,0,NA,0,0,0,0,0,F
FL2F3,2,3,TBML,october,12,5.3,209.808,8.059,103.071,NA,NA,0,NA,0,0,0,0,0,F
FL2F4,2,4,TBML,september,19,3.1,171.947,6.569,77.543,NA,NA,0,NA,0,0,0,0,0,F
FL2F5,2,5,TBML,september,19,1.7,147.601,4.996,63.396,NA,NA,1,NA,1,131,28,159,1.465679012,F
FL2F6,2,6,TBML,september,19,1.9,152.714,4.68,70.134,NA,NA,0,NA,0,0,0,0,0,F
FL2F7,2,7,TBML,september,19,3.5,184.933,6.452,85.602,NA,NA,1,NA,1,122,48,170,1.567078189,F
FL2F8,2,8,TBML,september,19,2.7,175.575,6.269,78.212,NA,NA,1,NA,2,163,41,204,1.880493827,F
FL3F1,3,1,TBML,october,19,5.6,203.611,8.484,95.139,NA,NA,1,NA,1,85,3,88,0.811193416,F
FL3F2,3,2,TBML,october,12,3.4,181.831,8.033,86.401,NA,NA,1,NA,3,731,31,762,7.024197531,F
FL3F3,3,3,TBML,october,5,1.2,142.32,3.914,63.24,NA,NA,1,NA,1,154,131,285,2.627160494,F
FL3F4,3,4,TBML,october,5,4,181.386,8.575,85.176,NA,NA,1,NA,3,785,131,916,8.443786008,F
FL3F5,3,5,TBML,october,5,3.3,162.618,6.991,76.801,NA,NA,1,NA,2,350,17,367,3.383045267,F
FL3F6,3,6,TBML,october,19,1.2,139.352,4.015,63.443,NA,NA,0,NA,0,0,0,0,0,F
FL3F7,3,7,TBML,october,19,1.4,148.166,4.285,64.288,NA,NA,0,NA,0,0,0,0,0,F
FL3F8,3,8,TBML,october,5,2,156.81,5.194,72.794,NA,NA,0,NA,0,0,0,0,0,F
FL4F1,4,1,FD,october,11,2.1,156.414,5.208,66.831,NA,NA,0,NA,0,0,0,0,0,F
FL4F2,4,2,FD,october,11,4.7,202.084,7.211,91.533,NA,NA,1,NA,2,168,0,168,1.548641975,F
FL4F3,4,3,FD,october,11,5.1,197.892,8.56,89.645,NA,NA,1,NA,1,31,4,35,0.322633745,F
FL4F4,4,4,TBML,october,14,3,182.398,6.214,79.505,NA,NA,0,NA,0,0,0,0,0,F
FL4F5,4,5,TBML,october,14,4.1,197.452,7.179,89.68,NA,NA,1,NA,2,50,76,126,1.161481481,F
FL4F6,4,6,TBML,october,14,1.7,144.463,4.346,66.446,NA,NA,0,NA,0,0,0,0,0,F
FL4F7,4,7,TBML,october,14,2.1,163.219,5.99,70.72,NA,NA,0,NA,0,0,0,0,0,F
FL4F8,4,8,TBML,october,14,1.7,152.466,6.161,65.521,NA,NA,1,NA,1,395,32,427,3.936131687,F
FL5F1,5,1,TBML,october,8,1.1,155.761,4.854,57.688,NA,NA,0,NA,0,0,0,0,0,F
FL5F2,5,2,TBML,october,8,1.2,138.234,4.51,59.274,NA,NA,0,NA,0,0,0,0,0,F
FL5F3,5,3,FD,october,12,4.2,199.048,6.862,91.479,NA,NA,0,NA,0,0,0,0,0,F
FL5F4,5,4,FD,october,12,3.5,178.421,6.389,80.983,NA,NA,1,NA,2,527,23,550,5.069958848,F
FL5F5,5,5,FD,october,12,3.1,188.505,7.037,81.81,NA,NA,1,NA,1,384,46,430,3.963786008,F
FL5F6,5,6,FD,october,12,3.2,179.746,6.803,80.759,NA,NA,1,NA,1,230,6,236,2.175473251,F
FL5F7,5,7,FD,october,12,29,180.301,5.71,82.105,NA,NA,0,NA,0,0,0,0,0,F
FL5F8,5,8,FD,october,12,3.3,175.911,6.62,78.497,NA,NA,0,NA,0,0,0,0,0,F
FL6F1,6,1,TBML,october,20,2.1,164.714,5.805,70.595,NA,NA,0,NA,0,0,0,0,0,F
FL6F2,6,2,TBML,october,20,5.6,211.777,8.452,95.709,NA,NA,0,NA,0,0,0,0,0,F
FL6F3,6,3,TBML,october,20,5.3,204.937,8.159,85.194,NA,NA,0,NA,0,0,0,0,0,F
FL6F4,6,4,TBML,october,11,1.7,152.162,5.249,69.552,NA,NA,0,NA,0,0,0,0,0,F
FL6F5,6,5,TBML,october,13,3,170.718,7.772,79.468,NA,NA,1,NA,1,263,0,263,2.42436214,F
FL6F6,6,6,TBML,october,13,6.1,215.716,8.912,97.194,NA,NA,0,NA,0,0,0,0,0,F
FL6F7,6,7,TBML,october,13,5.7,204.212,9.391,90.367,NA,NA,0,NA,0,0,0,0,0,F
FL6F8,6,8,TBML,october,13,2.1,160.683,5.807,71.635,NA,NA,1,NA,1,175,0,175,1.613168724,F
FL8F1,8,1,TBML,october,28,3.2,187.551,5.919,87.162,NA,NA,0,NA,0,0,0,0,0,F
FL8F2,8,2,TBML,october,28,5.3,213.903,7.713,98.804,NA,NA,1,NA,1,7,66,73,0.672921811,F
FL8F3,8,3,TBML,october,30,4.5,204.794,7.912,88.361,NA,NA,0,NA,0,0,0,0,0,F
FL8F4,8,4,TBML,october,28,7.1,224.516,8.608,103.74,NA,NA,0,NA,0,0,0,0,0,F
FL8F5,8,5,TBML,october,28,2.7,174.166,6.447,74.061,NA,NA,1,NA,1,146,20,166,1.530205761,F
FL8F6,8,6,TBML,october,28,3.7,190.161,6.365,84.046,NA,NA,0,NA,0,0,0,0,0,F
FL8F7,8,7,DC,october,21,2.8,179.241,5.923,82.302,NA,NA,0,NA,0,0,0,0,0,F
FL8F8,8,8,TBML,october,28,1.7,151.385,4.692,65.763,NA,NA,0,NA,0,0,0,0,0,F
